Gene stable ID	Gene name	Human gene stable ID	Human gene name	Human chromosome/scaffold name	Human chromosome/scaffold start (bp)	Human chromosome/scaffold end (bp)
ENSMUSG00000065228	Gm25789	ENSG00000199934	RF00136	1	85592280	85592356
ENSMUSG00000065228	Gm25789	ENSG00000212278	RF00136	5	18236123	18236196
ENSMUSG00000065228	Gm25789	ENSG00000202023	RF00136	7	137287687	137287762
ENSMUSG00000087951	Gm22558	ENSG00000253064	RNU6-711P	17	29424762	29424867
ENSMUSG00000065656	Gm23104	ENSG00000201687	RNU6-1107P	11	113859346	113859449
ENSMUSG00000088114	Gm24061	ENSG00000207067	SNORA72	8	98042086	98042217
ENSMUSG00000088553	Gm22101	ENSG00000212221	RNU6-220P	8	143350172	143350278
ENSMUSG00000088553	Gm22101	ENSG00000223306	RNU6-1304P	1	225741275	225741380
ENSMUSG00000088553	Gm22101	ENSG00000251895	RNU6-976P	14	84739942	84740052
ENSMUSG00000088553	Gm22101	ENSG00000223313	RNU6-516P	15	40529570	40529673
ENSMUSG00000089313	Gm23182	ENSG00000201809	RF00096	12	73764279	73764413
ENSMUSG00000093974	Snord116l17	ENSG00000207001	SNORD116-2	15	25054210	25054304
ENSMUSG00000093974	Snord116l17	ENSG00000207093	SNORD116-8	15	25070432	25070526
ENSMUSG00000093974	Snord116l17	ENSG00000207014	SNORD116-3	15	25056860	25056954
ENSMUSG00000093974	Snord116l17	ENSG00000207063	SNORD116-1	15	25051477	25051571
ENSMUSG00000093974	Snord116l17	ENSG00000207191	SNORD116-5	15	25062333	25062427
ENSMUSG00000093974	Snord116l17	ENSG00000275529	SNORD116-4	15	25059538	25059633
ENSMUSG00000093974	Snord116l17	ENSG00000207133	SNORD116-7	15	25067788	25067882
ENSMUSG00000093974	Snord116l17	ENSG00000206727	SNORD116-9	15	25073107	25073201
ENSMUSG00000093974	Snord116l17	ENSG00000207442	SNORD116-6	15	25065026	25065121
ENSMUSG00000088102	Gm24113	ENSG00000252076	RN7SKP196	10	58869184	58869528
ENSMUSG00000084696	Gm24892	ENSG00000252752	RNU6-210P	1	93010257	93010351
ENSMUSG00000065337	Gm24929	ENSG00000277374	RF00003	KI270750.1	148668	148843
ENSMUSG00000065337	Gm24929	ENSG00000202215	RNU1-51P	4	189709539	189709714
ENSMUSG00000065337	Gm24929	ENSG00000252491	RNU1-142P	X	26790142	26790286
ENSMUSG00000065337	Gm24929	ENSG00000275631	RF00003	21	9646825	9647000
ENSMUSG00000084524	Gm24184	ENSG00000201309	RF00019	6	134283092	134283193
ENSMUSG00000084667	Gm23212	ENSG00000200072	RF00287	13	112052078	112052138
ENSMUSG00000088814	Gm22385	ENSG00000201532	RNA5SP194	5	139012329	139012441
ENSMUSG00000093112	Gm22701	ENSG00000244642	RN7SL396P	8	119862662	119862956
ENSMUSG00000098940	Gm27639	ENSG00000253048	RNU4-60P	19	42472875	42473009
ENSMUSG00000089308	Gm24837	ENSG00000238886	SNORD121A	9	33952769	33952850
ENSMUSG00000065667	Gm22576	ENSG00000223335	RNU6-603P	6	32352877	32352983
ENSMUSG00000087990	Gm25058	ENSG00000281516	RF00423	2	130929762	130929884
ENSMUSG00000089306	Gm24842	ENSG00000252008	RNU6-927P	12	124901512	124901611
ENSMUSG00000089306	Gm24842	ENSG00000212344	RNU6-823P	3	128141875	128141977
ENSMUSG00000089306	Gm24842	ENSG00000201179	RNU6-1322P	7	105332790	105332896
ENSMUSG00000089306	Gm24842	ENSG00000222282	RNU6-584P	1	37885023	37885117
ENSMUSG00000089306	Gm24842	ENSG00000251831	RNU6-1114P	6	16205014	16205120
ENSMUSG00000087904	Gm22036	ENSG00000253020	RN7SKP40	3	174631823	174632064
ENSMUSG00000065373	Gm22740	ENSG00000207291	RNU6-30P	X	101634006	101634112
ENSMUSG00000087734	Gm24646	ENSG00000206685	RNU6-1189P	X	47087506	47087612
ENSMUSG00000096482	Gm23977	ENSG00000200570	RNU6-829P	9	93375556	93375667
ENSMUSG00000064632	Gm25142	ENSG00000199348	RNU6-766P	2	168606390	168606496
ENSMUSG00000065512	Mir138-2	ENSG00000207649	MIR138-2	16	56858518	56858601
ENSMUSG00000077903	Mir294	ENSG00000199095	MIR372	19	53787890	53787956
ENSMUSG00000088145	Gm24719	ENSG00000212589	RF00560	10	113820459	113820590
ENSMUSG00000088145	Gm24719	ENSG00000281808	RF00560	9	136726748	136726879
ENSMUSG00000088145	Gm24719	ENSG00000212461	RF00560	12	71639355	71639483
ENSMUSG00000095395	Gm25617	ENSG00000274998	SNORA17A	9	136726747	136726879
ENSMUSG00000065686	Snora5c	ENSG00000201772	SNORA5C	7	45104906	45105042
ENSMUSG00000094791	AC126035.1	ENSG00000270601	PRAMEF5	1	13254212	13263314
ENSMUSG00000094791	AC126035.1	ENSG00000204501	PRAMEF15	1	13315581	13322598
ENSMUSG00000094791	AC126035.1	ENSG00000116726	PRAMEF12	1	12774841	12777906
ENSMUSG00000094791	AC126035.1	ENSG00000204478	PRAMEF20	1	13410450	13421328
ENSMUSG00000094791	AC126035.1	ENSG00000204480	PRAMEF19	1	13369067	13371900
ENSMUSG00000094791	AC126035.1	ENSG00000239810	PRAMEF11	1	12824605	12831410
ENSMUSG00000094791	AC126035.1	ENSG00000182330	PRAMEF8	1	13281035	13285174
ENSMUSG00000094791	AC126035.1	ENSG00000279169	PRAMEF13	1	13196330	13201409
ENSMUSG00000094791	AC126035.1	ENSG00000120952	PRAMEF2	1	12857086	12861909
ENSMUSG00000094791	AC126035.1	ENSG00000237700	PRAMEF33	1	13303539	13308907
ENSMUSG00000094791	AC126035.1	ENSG00000116721	PRAMEF1	1	12791397	12796628
ENSMUSG00000094791	AC126035.1	ENSG00000187545	PRAMEF10	1	12892896	12898270
ENSMUSG00000094791	AC126035.1	ENSG00000243073	PRAMEF4	1	12879224	12886201
ENSMUSG00000094791	AC126035.1	ENSG00000204479	PRAMEF17	1	13389632	13392629
ENSMUSG00000094791	AC126035.1	ENSG00000204510	PRAMEF7	1	12916610	12920482
ENSMUSG00000094791	AC126035.1	ENSG00000274764	PRAMEF27	1	13049476	13056491
ENSMUSG00000094791	AC126035.1	ENSG00000280267	PRAMEF26	1	13148905	13155961
ENSMUSG00000094791	AC126035.1	ENSG00000204481	PRAMEF14	1	13342034	13347134
ENSMUSG00000094791	AC126035.1	ENSG00000204505	PRAMEF9	1	13172455	13179464
ENSMUSG00000094791	AC126035.1	ENSG00000229571	PRAMEF25	1	13068677	13077884
ENSMUSG00000094791	AC126035.1	ENSG00000232423	PRAMEF6	1	12938472	12947580
ENSMUSG00000094791	AC126035.1	ENSG00000279804	PRAMEF18	1	13222705	13226106
ENSMUSG00000093117	Gm22699	ENSG00000252890	RNU6-699P	4	66897262	66897371
ENSMUSG00000064984	Snord73a	ENSG00000208797	SNORD73A	4	151103827	151103891
ENSMUSG00000065560	Mir148b	ENSG00000199122	MIR148B	12	54337216	54337314
ENSMUSG00000064987	Gm25260	ENSG00000202000	RNU1-36P	4	88000237	88000401
ENSMUSG00000084519	Gm22478	ENSG00000207027	RF00272	8	23806229	23806377
ENSMUSG00000084519	Gm22478	ENSG00000252473	RF00272	2	39283657	39283791
ENSMUSG00000084519	Gm22478	ENSG00000212395	RF00272	9	131782860	131782958
ENSMUSG00000084519	Gm22478	ENSG00000201619	RF00272	1	179201487	179201627
ENSMUSG00000084519	Gm22478	ENSG00000207094	RF00272	7	88449092	88449231
ENSMUSG00000084519	Gm22478	ENSG00000212338	RF00272	1	179196473	179196579
ENSMUSG00000084433	Gm25945	ENSG00000207475	SNORA80E	1	155919909	155920045
ENSMUSG00000089562	Gm24666	ENSG00000251877	RNU2-45P	6	28410270	28410456
ENSMUSG00000089562	Gm24666	ENSG00000276711	RF00004	GL000225.1	183252	183364
ENSMUSG00000089562	Gm24666	ENSG00000274202	RF00004	GL000216.2	93197	93309
ENSMUSG00000089562	Gm24666	ENSG00000222629	RNU2-42P	10	125890566	125890678
ENSMUSG00000089562	Gm24666	ENSG00000252066	RNU2-53P	15	53651977	53652123
ENSMUSG00000089562	Gm24666	ENSG00000251718	RNU2-13P	2	11561194	11561306
ENSMUSG00000089562	Gm24666	ENSG00000277248	RF00004	22	10736171	10736283
ENSMUSG00000087894	Gm25280	ENSG00000252850	RNU1-117P	12	88581639	88581796
ENSMUSG00000087894	Gm25280	ENSG00000200184	RNU1-20P	3	192729555	192729716
ENSMUSG00000065625	Gm24765	ENSG00000206935	RNU6-514P	1	23162704	23162810
ENSMUSG00000089072	Gm24500	ENSG00000202434	RF00394	2	197404718	197404854
ENSMUSG00000089072	Gm24500	ENSG00000201133	RF00394	7	50935350	50935493
ENSMUSG00000095475	AC133095.2	ENSG00000270601	PRAMEF5	1	13254212	13263314
ENSMUSG00000095475	AC133095.2	ENSG00000204501	PRAMEF15	1	13315581	13322598
ENSMUSG00000095475	AC133095.2	ENSG00000116726	PRAMEF12	1	12774841	12777906
ENSMUSG00000095475	AC133095.2	ENSG00000204478	PRAMEF20	1	13410450	13421328
ENSMUSG00000095475	AC133095.2	ENSG00000204480	PRAMEF19	1	13369067	13371900
ENSMUSG00000095475	AC133095.2	ENSG00000239810	PRAMEF11	1	12824605	12831410
ENSMUSG00000095475	AC133095.2	ENSG00000182330	PRAMEF8	1	13281035	13285174
ENSMUSG00000095475	AC133095.2	ENSG00000279169	PRAMEF13	1	13196330	13201409
ENSMUSG00000095475	AC133095.2	ENSG00000120952	PRAMEF2	1	12857086	12861909
ENSMUSG00000095475	AC133095.2	ENSG00000237700	PRAMEF33	1	13303539	13308907
ENSMUSG00000095475	AC133095.2	ENSG00000116721	PRAMEF1	1	12791397	12796628
ENSMUSG00000095475	AC133095.2	ENSG00000187545	PRAMEF10	1	12892896	12898270
ENSMUSG00000095475	AC133095.2	ENSG00000243073	PRAMEF4	1	12879224	12886201
ENSMUSG00000095475	AC133095.2	ENSG00000204479	PRAMEF17	1	13389632	13392629
ENSMUSG00000095475	AC133095.2	ENSG00000204510	PRAMEF7	1	12916610	12920482
ENSMUSG00000095475	AC133095.2	ENSG00000274764	PRAMEF27	1	13049476	13056491
ENSMUSG00000095475	AC133095.2	ENSG00000280267	PRAMEF26	1	13148905	13155961
ENSMUSG00000095475	AC133095.2	ENSG00000204481	PRAMEF14	1	13342034	13347134
ENSMUSG00000095475	AC133095.2	ENSG00000204505	PRAMEF9	1	13172455	13179464
ENSMUSG00000095475	AC133095.2	ENSG00000229571	PRAMEF25	1	13068677	13077884
ENSMUSG00000095475	AC133095.2	ENSG00000232423	PRAMEF6	1	12938472	12947580
ENSMUSG00000095475	AC133095.2	ENSG00000279804	PRAMEF18	1	13222705	13226106
ENSMUSG00000073572	Gm10542	ENSG00000204909	SPINK9	5	148321203	148339852
ENSMUSG00000094172	AC163611.1	ENSG00000270601	PRAMEF5	1	13254212	13263314
ENSMUSG00000094172	AC163611.1	ENSG00000204501	PRAMEF15	1	13315581	13322598
ENSMUSG00000094172	AC163611.1	ENSG00000116726	PRAMEF12	1	12774841	12777906
ENSMUSG00000094172	AC163611.1	ENSG00000204478	PRAMEF20	1	13410450	13421328
ENSMUSG00000094172	AC163611.1	ENSG00000204480	PRAMEF19	1	13369067	13371900
ENSMUSG00000094172	AC163611.1	ENSG00000239810	PRAMEF11	1	12824605	12831410
ENSMUSG00000094172	AC163611.1	ENSG00000182330	PRAMEF8	1	13281035	13285174
ENSMUSG00000094172	AC163611.1	ENSG00000279169	PRAMEF13	1	13196330	13201409
ENSMUSG00000094172	AC163611.1	ENSG00000120952	PRAMEF2	1	12857086	12861909
ENSMUSG00000094172	AC163611.1	ENSG00000237700	PRAMEF33	1	13303539	13308907
ENSMUSG00000094172	AC163611.1	ENSG00000116721	PRAMEF1	1	12791397	12796628
ENSMUSG00000094172	AC163611.1	ENSG00000187545	PRAMEF10	1	12892896	12898270
ENSMUSG00000094172	AC163611.1	ENSG00000243073	PRAMEF4	1	12879224	12886201
ENSMUSG00000094172	AC163611.1	ENSG00000204479	PRAMEF17	1	13389632	13392629
ENSMUSG00000094172	AC163611.1	ENSG00000204510	PRAMEF7	1	12916610	12920482
ENSMUSG00000094172	AC163611.1	ENSG00000274764	PRAMEF27	1	13049476	13056491
ENSMUSG00000094172	AC163611.1	ENSG00000280267	PRAMEF26	1	13148905	13155961
ENSMUSG00000094172	AC163611.1	ENSG00000204481	PRAMEF14	1	13342034	13347134
ENSMUSG00000094172	AC163611.1	ENSG00000204505	PRAMEF9	1	13172455	13179464
ENSMUSG00000094172	AC163611.1	ENSG00000229571	PRAMEF25	1	13068677	13077884
ENSMUSG00000094172	AC163611.1	ENSG00000232423	PRAMEF6	1	12938472	12947580
ENSMUSG00000094172	AC163611.1	ENSG00000279804	PRAMEF18	1	13222705	13226106
ENSMUSG00000091585	AC140365.1	ENSG00000270601	PRAMEF5	1	13254212	13263314
ENSMUSG00000091585	AC140365.1	ENSG00000204501	PRAMEF15	1	13315581	13322598
ENSMUSG00000091585	AC140365.1	ENSG00000116726	PRAMEF12	1	12774841	12777906
ENSMUSG00000091585	AC140365.1	ENSG00000204478	PRAMEF20	1	13410450	13421328
ENSMUSG00000091585	AC140365.1	ENSG00000204480	PRAMEF19	1	13369067	13371900
ENSMUSG00000091585	AC140365.1	ENSG00000239810	PRAMEF11	1	12824605	12831410
ENSMUSG00000091585	AC140365.1	ENSG00000182330	PRAMEF8	1	13281035	13285174
ENSMUSG00000091585	AC140365.1	ENSG00000279169	PRAMEF13	1	13196330	13201409
ENSMUSG00000091585	AC140365.1	ENSG00000120952	PRAMEF2	1	12857086	12861909
ENSMUSG00000091585	AC140365.1	ENSG00000237700	PRAMEF33	1	13303539	13308907
ENSMUSG00000091585	AC140365.1	ENSG00000116721	PRAMEF1	1	12791397	12796628
ENSMUSG00000091585	AC140365.1	ENSG00000187545	PRAMEF10	1	12892896	12898270
ENSMUSG00000091585	AC140365.1	ENSG00000243073	PRAMEF4	1	12879224	12886201
ENSMUSG00000091585	AC140365.1	ENSG00000204479	PRAMEF17	1	13389632	13392629
ENSMUSG00000091585	AC140365.1	ENSG00000204510	PRAMEF7	1	12916610	12920482
ENSMUSG00000091585	AC140365.1	ENSG00000274764	PRAMEF27	1	13049476	13056491
ENSMUSG00000091585	AC140365.1	ENSG00000280267	PRAMEF26	1	13148905	13155961
ENSMUSG00000091585	AC140365.1	ENSG00000204481	PRAMEF14	1	13342034	13347134
ENSMUSG00000091585	AC140365.1	ENSG00000204505	PRAMEF9	1	13172455	13179464
ENSMUSG00000091585	AC140365.1	ENSG00000229571	PRAMEF25	1	13068677	13077884
ENSMUSG00000091585	AC140365.1	ENSG00000232423	PRAMEF6	1	12938472	12947580
ENSMUSG00000091585	AC140365.1	ENSG00000279804	PRAMEF18	1	13222705	13226106
ENSMUSG00000065527	Mir93	ENSG00000207757	MIR93	7	100093768	100093847
ENSMUSG00000095247	Ccl27	ENSG00000213927	CCL27	9	34661880	34664048
ENSMUSG00000099280	Gm27991	ENSG00000206976	RF00409	11	3922567	3922703
ENSMUSG00000099280	Gm27991	ENSG00000206913	RF00409	11	74252414	74252552
ENSMUSG00000099280	Gm27991	ENSG00000222604	RF00409	14	74711936	74712045
ENSMUSG00000099280	Gm27991	ENSG00000201316	RF00409	8	51015021	51015165
ENSMUSG00000099280	Gm27991	ENSG00000200620	RF00409	X	15716208	15716346
ENSMUSG00000095320	Ccl21a	ENSG00000137077	CCL21	9	34709005	34710136
ENSMUSG00000095205	Snord93	ENSG00000221740	SNORD93	7	22856613	22856686
ENSMUSG00000064966	Snord15b	ENSG00000207445	SNORD15B	11	75404421	75404566
ENSMUSG00000065341	Gm25579	ENSG00000206618	RNU6-1264P	17	6207163	6207269
ENSMUSG00000065341	Gm25579	ENSG00000206589	RNU6-354P	15	43734179	43734285
ENSMUSG00000096684	Gm25989	ENSG00000239183	SNORA84	9	92292461	92292593
ENSMUSG00000096070	Gm25350	ENSG00000207001	SNORD116-2	15	25054210	25054304
ENSMUSG00000096070	Gm25350	ENSG00000207093	SNORD116-8	15	25070432	25070526
ENSMUSG00000096070	Gm25350	ENSG00000207014	SNORD116-3	15	25056860	25056954
ENSMUSG00000096070	Gm25350	ENSG00000207063	SNORD116-1	15	25051477	25051571
ENSMUSG00000096070	Gm25350	ENSG00000207191	SNORD116-5	15	25062333	25062427
ENSMUSG00000096070	Gm25350	ENSG00000275529	SNORD116-4	15	25059538	25059633
ENSMUSG00000096070	Gm25350	ENSG00000207133	SNORD116-7	15	25067788	25067882
ENSMUSG00000096070	Gm25350	ENSG00000206727	SNORD116-9	15	25073107	25073201
ENSMUSG00000096070	Gm25350	ENSG00000207442	SNORD116-6	15	25065026	25065121
ENSMUSG00000088239	Gm25430	ENSG00000253020	RN7SKP40	3	174631823	174632064
ENSMUSG00000065519	Mir10a	ENSG00000284038	MIR10A	17	48579838	48579947
ENSMUSG00000065530	Mir99a	ENSG00000207638	MIR99A	21	16539089	16539169
ENSMUSG00000094383	AC123873.1	ENSG00000270601	PRAMEF5	1	13254212	13263314
ENSMUSG00000094383	AC123873.1	ENSG00000204501	PRAMEF15	1	13315581	13322598
ENSMUSG00000094383	AC123873.1	ENSG00000116726	PRAMEF12	1	12774841	12777906
ENSMUSG00000094383	AC123873.1	ENSG00000204478	PRAMEF20	1	13410450	13421328
ENSMUSG00000094383	AC123873.1	ENSG00000204480	PRAMEF19	1	13369067	13371900
ENSMUSG00000094383	AC123873.1	ENSG00000239810	PRAMEF11	1	12824605	12831410
ENSMUSG00000094383	AC123873.1	ENSG00000182330	PRAMEF8	1	13281035	13285174
ENSMUSG00000094383	AC123873.1	ENSG00000279169	PRAMEF13	1	13196330	13201409
ENSMUSG00000094383	AC123873.1	ENSG00000120952	PRAMEF2	1	12857086	12861909
ENSMUSG00000094383	AC123873.1	ENSG00000237700	PRAMEF33	1	13303539	13308907
ENSMUSG00000094383	AC123873.1	ENSG00000116721	PRAMEF1	1	12791397	12796628
ENSMUSG00000094383	AC123873.1	ENSG00000187545	PRAMEF10	1	12892896	12898270
ENSMUSG00000094383	AC123873.1	ENSG00000243073	PRAMEF4	1	12879224	12886201
ENSMUSG00000094383	AC123873.1	ENSG00000204479	PRAMEF17	1	13389632	13392629
ENSMUSG00000094383	AC123873.1	ENSG00000204510	PRAMEF7	1	12916610	12920482
ENSMUSG00000094383	AC123873.1	ENSG00000274764	PRAMEF27	1	13049476	13056491
ENSMUSG00000094383	AC123873.1	ENSG00000280267	PRAMEF26	1	13148905	13155961
ENSMUSG00000094383	AC123873.1	ENSG00000204481	PRAMEF14	1	13342034	13347134
ENSMUSG00000094383	AC123873.1	ENSG00000204505	PRAMEF9	1	13172455	13179464
ENSMUSG00000094383	AC123873.1	ENSG00000229571	PRAMEF25	1	13068677	13077884
ENSMUSG00000094383	AC123873.1	ENSG00000232423	PRAMEF6	1	12938472	12947580
ENSMUSG00000094383	AC123873.1	ENSG00000279804	PRAMEF18	1	13222705	13226106
ENSMUSG00000065251	Gm23971	ENSG00000275219	RF00004	17	43296425	43296615
ENSMUSG00000065251	Gm23971	ENSG00000274585	RNU2-1	17	43233787	43233977
ENSMUSG00000065251	Gm23971	ENSG00000278591	RF00004	17	43300041	43300231
ENSMUSG00000065251	Gm23971	ENSG00000278774	RF00004	17	43273101	43273292
ENSMUSG00000065251	Gm23971	ENSG00000273709	RF00004	17	43241180	43241370
ENSMUSG00000065251	Gm23971	ENSG00000278048	RF00004	17	43251829	43252019
ENSMUSG00000065251	Gm23971	ENSG00000276596	RF00004	17	43266633	43266823
ENSMUSG00000065251	Gm23971	ENSG00000275616	RF00004	17	43239921	43240111
ENSMUSG00000065251	Gm23971	ENSG00000277903	RF00004	17	43271369	43271559
ENSMUSG00000065251	Gm23971	ENSG00000274432	RF00004	17	43245674	43245864
ENSMUSG00000065251	Gm23971	ENSG00000274862	RF00004	17	43277978	43278168
ENSMUSG00000065251	Gm23971	ENSG00000274062	RF00004	17	43284139	43284329
ENSMUSG00000087785	Gm23172	ENSG00000200075	RF00402	8	129868590	129868716
ENSMUSG00000099240	Gm27539	ENSG00000276015	RF01950	11	2697851	2698076
ENSMUSG00000089062	Gm22838	ENSG00000223044	RNU6-130P	6	82210338	82210440
ENSMUSG00000089062	Gm22838	ENSG00000199217	RNU6-1123P	11	119656311	119656416
ENSMUSG00000099157	Gm27804	ENSG00000274721	RF02039	5	142318047	142318167
ENSMUSG00000088098	Gm23674	ENSG00000212589	RF00560	10	113820459	113820590
ENSMUSG00000088098	Gm23674	ENSG00000281808	RF00560	9	136726748	136726879
ENSMUSG00000088098	Gm23674	ENSG00000212461	RF00560	12	71639355	71639483
ENSMUSG00000076050	Mir450b	ENSG00000216001	MIR450B	X	134540185	134540262
ENSMUSG00000064440	Gm26224	ENSG00000201502	RF00284	12	93266017	93266096
ENSMUSG00000064440	Gm26224	ENSG00000200891	RF00284	10	87994618	87994695
ENSMUSG00000064440	Gm26224	ENSG00000201666	RF00284	X	28924069	28924138
ENSMUSG00000064440	Gm26224	ENSG00000200897	RF00284	12	107374747	107374827
ENSMUSG00000064440	Gm26224	ENSG00000201025	SNORD74B	21	16284696	16284768
ENSMUSG00000064440	Gm26224	ENSG00000200999	RF00284	4	26702309	26702388
ENSMUSG00000064440	Gm26224	ENSG00000200206	RF00284	15	86173198	86173270
ENSMUSG00000077506	Scarna9	ENSG00000273885	RF00493	11	93721797	93721866
ENSMUSG00000077506	Scarna9	ENSG00000201882	RF00493	X	20136066	20136135
ENSMUSG00000088820	Gm25224	ENSG00000200636	SNORD114-27	14	100988161	100988230
ENSMUSG00000089060	Gm22361	ENSG00000252311	RNU1-103P	16	85781775	85781899
ENSMUSG00000084560	Gm26478	ENSG00000253048	RNU4-60P	19	42472875	42473009
ENSMUSG00000088285	Gm23589	ENSG00000252898	RNU6-1096P	4	173446603	173446704
ENSMUSG00000096305	Gm23047	ENSG00000207001	SNORD116-2	15	25054210	25054304
ENSMUSG00000096305	Gm23047	ENSG00000207093	SNORD116-8	15	25070432	25070526
ENSMUSG00000096305	Gm23047	ENSG00000207014	SNORD116-3	15	25056860	25056954
ENSMUSG00000096305	Gm23047	ENSG00000207063	SNORD116-1	15	25051477	25051571
ENSMUSG00000096305	Gm23047	ENSG00000207191	SNORD116-5	15	25062333	25062427
ENSMUSG00000096305	Gm23047	ENSG00000275529	SNORD116-4	15	25059538	25059633
ENSMUSG00000096305	Gm23047	ENSG00000207133	SNORD116-7	15	25067788	25067882
ENSMUSG00000096305	Gm23047	ENSG00000206727	SNORD116-9	15	25073107	25073201
ENSMUSG00000096305	Gm23047	ENSG00000207442	SNORD116-6	15	25065026	25065121
ENSMUSG00000084617	Gm22073	ENSG00000222624	RNU2-15P	1	65415816	65416006
ENSMUSG00000065878	Snord34	ENSG00000202503	SNORD34	19	49490904	49490974
ENSMUSG00000099081	Gm27624	ENSG00000275307	RF01892	22	30973417	30973597
ENSMUSG00000088049	Gm23332	ENSG00000200761	RN7SKP113	4	4920770	4921064
ENSMUSG00000088049	Gm23332	ENSG00000222898	RN7SKP97	8	61631680	61632012
ENSMUSG00000096704	Gm24805	ENSG00000201001	RNU6-270P	10	28760699	28760803
ENSMUSG00000088146	Gm24718	ENSG00000252906	SCARNA3	1	175968398	175968540
ENSMUSG00000089549	Gm25831	ENSG00000207056	RNU1-8P	1	7219360	7219524
ENSMUSG00000099304	Gm27420	ENSG00000207587	MIR544A	14	101048658	101048748
ENSMUSG00000089052	Gm23351	ENSG00000252049	RF00561	10	23166985	23167101
ENSMUSG00000077391	Gm24336	ENSG00000212464	SNORA12	10	100237156	100237302
ENSMUSG00000080683	Gm23991	ENSG00000221241	SNORD88A	19	50799442	50799532
ENSMUSG00000080683	Gm23991	ENSG00000221381	SNORD88B	19	50799032	50799122
ENSMUSG00000087908	Gm22034	ENSG00000212589	RF00560	10	113820459	113820590
ENSMUSG00000087908	Gm22034	ENSG00000281808	RF00560	9	136726748	136726879
ENSMUSG00000087908	Gm22034	ENSG00000212461	RF00560	12	71639355	71639483
ENSMUSG00000065111	Gm25141	ENSG00000201104	RNU6-11P	7	123790605	123790711
ENSMUSG00000065111	Gm25141	ENSG00000199562	RNU6-37P	1	10298966	10299072
ENSMUSG00000065111	Gm25141	ENSG00000199248	RNU6-28P	22	31479383	31479489
ENSMUSG00000088068	Gm47290	ENSG00000252971	RNU6-1057P	17	20290257	20290358
ENSMUSG00000098767	Gm27755	ENSG00000275359	RF02179	7	116952698	116952813
ENSMUSG00000077317	Gm25785	ENSG00000212451	RNU11-4P	8	126671522	126671654
ENSMUSG00000077317	Gm25785	ENSG00000212518	RNU11-5P	14	29476784	29476912
ENSMUSG00000077317	Gm25785	ENSG00000252707	RNU11-2P	17	12036496	12036637
ENSMUSG00000089163	RF00026	ENSG00000207366	RNU6-297P	14	48341226	48341332
ENSMUSG00000096017	Gm26502	ENSG00000207001	SNORD116-2	15	25054210	25054304
ENSMUSG00000096017	Gm26502	ENSG00000207093	SNORD116-8	15	25070432	25070526
ENSMUSG00000096017	Gm26502	ENSG00000207014	SNORD116-3	15	25056860	25056954
ENSMUSG00000096017	Gm26502	ENSG00000207063	SNORD116-1	15	25051477	25051571
ENSMUSG00000096017	Gm26502	ENSG00000207191	SNORD116-5	15	25062333	25062427
ENSMUSG00000096017	Gm26502	ENSG00000275529	SNORD116-4	15	25059538	25059633
ENSMUSG00000096017	Gm26502	ENSG00000207133	SNORD116-7	15	25067788	25067882
ENSMUSG00000096017	Gm26502	ENSG00000206727	SNORD116-9	15	25073107	25073201
ENSMUSG00000096017	Gm26502	ENSG00000207442	SNORD116-6	15	25065026	25065121
ENSMUSG00000065192	Gm23460	ENSG00000200906	RNU6-854P	X	77837289	77837395
ENSMUSG00000065192	Gm23460	ENSG00000207082	RNU6-171P	1	164639565	164639671
ENSMUSG00000088259	Gm24290	ENSG00000201161	RN7SKP10	13	109915096	109915420
ENSMUSG00000094655	Gm25360	ENSG00000275219	RF00004	17	43296425	43296615
ENSMUSG00000094655	Gm25360	ENSG00000274585	RNU2-1	17	43233787	43233977
ENSMUSG00000094655	Gm25360	ENSG00000278591	RF00004	17	43300041	43300231
ENSMUSG00000094655	Gm25360	ENSG00000278774	RF00004	17	43273101	43273292
ENSMUSG00000094655	Gm25360	ENSG00000273709	RF00004	17	43241180	43241370
ENSMUSG00000094655	Gm25360	ENSG00000278048	RF00004	17	43251829	43252019
ENSMUSG00000094655	Gm25360	ENSG00000276596	RF00004	17	43266633	43266823
ENSMUSG00000094655	Gm25360	ENSG00000275616	RF00004	17	43239921	43240111
ENSMUSG00000094655	Gm25360	ENSG00000277903	RF00004	17	43271369	43271559
ENSMUSG00000094655	Gm25360	ENSG00000274432	RF00004	17	43245674	43245864
ENSMUSG00000094655	Gm25360	ENSG00000274862	RF00004	17	43277978	43278168
ENSMUSG00000094655	Gm25360	ENSG00000274062	RF00004	17	43284139	43284329
ENSMUSG00000064949	Snora61	ENSG00000278274	SNORA61	1	28579764	28579893
ENSMUSG00000089398	Gm23028	ENSG00000271765	RN7SKP299	6	136545192	136545492
ENSMUSG00000077518	Gm25879	ENSG00000252498	RNU6-1016P	6	75644084	75644177
ENSMUSG00000065384	Gm23093	ENSG00000212354	RNU6-1242P	18	39678520	39678622
ENSMUSG00000065384	Gm23093	ENSG00000212407	RNU6-663P	8	32911493	32911598
ENSMUSG00000065384	Gm23093	ENSG00000201097	RNU6-366P	14	92265702	92265807
ENSMUSG00000099235	Gm27882	ENSG00000275942	RF01876	22	26672164	26672248
ENSMUSG00000077505	Gm24233	ENSG00000212517	RF00568	20	5121417	5121539
ENSMUSG00000077505	Gm24233	ENSG00000212590	RF00568	7	152609313	152609434
ENSMUSG00000077505	Gm24233	ENSG00000212490	RF00568	4	52748137	52748259
